type,material,length,width,height,volume,mass_kg,approved
Column,steel,3.21,0.29,0.52,0.484,3799.4,1
Beam,concrete,4.5,0.73,0.29,0.953,2382.5,1
Footing,concrete,3.6,1.0,0.39,1.404,3510.0,1
Slab,concrete,4.2,0.24,0.39,0.393,982.5,1
Footing,concrete,7.47,0.98,0.19,1.391,3477.5,1
Beam,steel,3.67,0.53,0.28,0.545,4278.2,1
Beam,steel,6.1,0.9,0.27,1.482,11633.7,0
Footing,concrete,5.28,0.83,0.11,0.482,1205.0,1
Beam,steel,6.97,0.65,0.11,0.498,3909.3,1
Footing,concrete,9.43,0.79,0.52,3.874,9685.0,0
Slab,concrete,7.59,0.9,0.24,1.639,4097.5,1
Footing,concrete,2.93,0.52,0.36,0.548,1370.0,1
Slab,steel,1.28,0.46,0.25,0.147,1154.0,1
Footing,steel,3.36,0.73,0.57,1.398,10974.3,0
Beam,steel,6.36,0.85,0.23,1.243,9757.6,0
Footing,steel,1.46,0.81,0.31,0.367,2881.0,1
Beam,steel,5.47,0.84,0.54,2.481,19475.8,0
Footing,steel,6.37,0.55,0.52,1.822,14302.7,0
Footing,steel,4.01,0.85,0.19,0.648,5086.8,0
Column,steel,7.94,0.3,0.5,1.191,9349.4,0
Beam,steel,1.96,0.64,0.33,0.414,3249.9,1
Column,concrete,1.68,0.2,0.34,0.114,285.0,1
Beam,steel,7.55,0.46,0.17,0.59,4631.5,1
Column,steel,5.46,0.49,0.14,0.375,2943.8,1
Slab,steel,7.2,0.52,0.46,1.722,13517.7,0
Footing,steel,4.91,0.76,0.35,1.306,10252.1,0
Beam,steel,3.22,0.51,0.32,0.526,4129.1,1
Beam,steel,8.37,0.56,0.46,2.156,16924.6,0
Footing,steel,8.19,0.39,0.48,1.533,12034.0,0
Beam,steel,7.25,0.5,0.18,0.652,5118.2,0
Beam,steel,3.45,0.38,0.41,0.538,4223.3,1
Column,steel,6.31,0.26,0.17,0.279,2190.2,1
Beam,steel,4.25,0.68,0.48,1.387,10888.0,0
Slab,concrete,1.82,0.73,0.43,0.571,1427.5,1
Slab,concrete,9.26,0.7,0.58,3.76,9400.0,0
Footing,steel,2.23,0.57,0.13,0.165,1295.2,1
Beam,steel,9.55,0.5,0.13,0.621,4874.8,1
Footing,concrete,5.01,0.89,0.24,1.07,2675.0,1
